2024-12-26 02:08:09,370 = ERROR - Указанный путь не является директорией: C:\программирование\PythonHomework\attectation>
2024-12-26 02:08:09,372 = ERROR - Ошибка при обработке: C:\программирование\PythonHomework\attectation> не является директорией
2024-12-26 02:08:51,408 = ERROR - Указанный путь не является директорией: PythonHomework\attectation>
2024-12-26 02:08:51,408 = ERROR - Ошибка при обработке: PythonHomework\attectation> не является директорией
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='search', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='show', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='uninstall', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,188 = INFO - Обработан файл: FileInfo(name='base', extension='py', is_directory=False, parent_directory='distributions')
2024-12-26 02:11:21,188 = INFO - Обработан файл: FileInfo(name='installed', extension='py', is_directory=False, parent_directory='distributions')
2024-12-26 02:11:21,188 = INFO - Обработан файл: FileInfo(name='sdist', extension='py', is_directory=False, parent_directory='distributions')
2024-12-26 02:11:21,188 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='distributions')
2024-12-26 02:11:21,188 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='distributions')
2024-12-26 02:11:21,189 = INFO - Обработан файл: FileInfo(name='collector', extension='py', is_directory=False, parent_directory='index')
2024-12-26 02:11:21,189 = INFO - Обработан файл: FileInfo(name='package_finder', extension='py', is_directory=False, parent_directory='index')
2024-12-26 02:11:21,189 = INFO - Обработан файл: FileInfo(name='sources', extension='py', is_directory=False, parent_directory='index')
2024-12-26 02:11:21,189 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='index')
2024-12-26 02:11:21,190 = INFO - Обработан файл: FileInfo(name='base', extension='py', is_directory=False, parent_directory='locations')
2024-12-26 02:11:21,190 = INFO - Обработан файл: FileInfo(name='_distutils', extension='py', is_directory=False, parent_directory='locations')
2024-12-26 02:11:21,190 = INFO - Обработан файл: FileInfo(name='_sysconfig', extension='py', is_directory=False, parent_directory='locations')
2024-12-26 02:11:21,190 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='locations')
2024-12-26 02:11:21,193 = INFO - Обраюотан каталог: FileInfo(name='importlib', extension=None, is_directory=True, parent_directory='metadata')
2024-12-26 02:11:21,194 = INFO - Обработан файл: FileInfo(name='base', extension='py', is_directory=False, parent_directory='metadata')
2024-12-26 02:11:21,195 = INFO - Обработан файл: FileInfo(name='pkg_resources', extension='py', is_directory=False, parent_directory='metadata')
2024-12-26 02:11:21,196 = INFO - Обработан файл: FileInfo(name='_json', extension='py', is_directory=False, parent_directory='metadata')
2024-12-26 02:11:21,196 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='metadata')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='_compat', extension='py', is_directory=False, parent_directory='importlib')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='_dists', extension='py', is_directory=False, parent_directory='importlib')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='_envs', extension='py', is_directory=False, parent_directory='importlib')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='importlib')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='candidate', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='direct_url', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,197 = INFO - Обработан файл: FileInfo(name='format_control', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='index', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='installation_report', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='link', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='scheme', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='search_scope', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='selection_prefs', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='target_python', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='models')
2024-12-26 02:11:21,198 = INFO - Обработан файл: FileInfo(name='auth', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='cache', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='download', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='lazy_wheel', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='session', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='utils', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='xmlrpc', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,199 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='network')
2024-12-26 02:11:21,200 = INFO - Обраюотан каталог: FileInfo(name='build', extension=None, is_directory=True, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обраюотан каталог: FileInfo(name='install', extension=None, is_directory=True, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обработан файл: FileInfo(name='check', extension='py', is_directory=False, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обработан файл: FileInfo(name='freeze', extension='py', is_directory=False, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обработан файл: FileInfo(name='prepare', extension='py', is_directory=False, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='operations')
2024-12-26 02:11:21,200 = INFO - Обработан файл: FileInfo(name='build_tracker', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='metadata', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='metadata_editable', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='metadata_legacy', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='wheel_editable', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='wheel_legacy', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,201 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='build')
2024-12-26 02:11:21,202 = INFO - Обработан файл: FileInfo(name='editable_legacy', extension='py', is_directory=False, parent_directory='install')
2024-12-26 02:11:21,202 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='install')
2024-12-26 02:11:21,202 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='install')
2024-12-26 02:11:21,203 = INFO - Обработан файл: FileInfo(name='constructors', extension='py', is_directory=False, parent_directory='req')
